match_date,match_result,season
"Saturday, 26 July",U Mumba beat Jaipur Pink Panthers (45 - 31),1
"Saturday, 26 July",Bengaluru Bulls beat Dabang Delhi (47 - 28),1
"Sunday, 27 July",Bengaluru Bulls beat Puneri Paltan (40 - 37),1
"Sunday, 27 July",U Mumba beat Bengal Warriors (36 - 25),1
"Monday, 28 July",Dabang Delhi beat Puneri Paltan (35 - 31),1
"Monday, 28 July",Match Drawn (35 - 35),1
"Tuesday, 29 July",U Mumba beat Patna Pirates (36 - 33),1
"Wednesday, 30 July",Bengaluru Bulls beat Bengal Warriors (46 - 30),1
"Thursday, 31 July",Jaipur Pink Panthers beat Telugu Titans (46 - 32),1
"Thursday, 31 July",Bengal Warriors beat Dabang Delhi (42 - 40),1
"Friday, 01 August",Patna Pirates beat Telugu Titans (38 - 35),1
"Friday, 01 August",Bengal Warriors beat Puneri Paltan (38 - 35),1
"Saturday, 02 August",Jaipur Pink Panthers beat Patna Pirates (40 - 18),1
"Saturday, 02 August",U Mumba beat Bengal Warriors (38 - 29),1
"Sunday, 03 August",Telugu Titans beat Dabang Delhi (39 - 35),1
"Sunday, 03 August",Puneri Paltan beat Bengaluru Bulls (33 - 31),1
"Monday, 04 August",U Mumba beat Puneri Paltan (44 - 28),1
"Monday, 04 August",Patna Pirates beat Dabang Delhi (36 - 31),1
"Tuesday, 05 August",U Mumba beat Bengaluru Bulls (45 - 34),1
"Tuesday, 05 August",Jaipur Pink Panthers beat Dabang Delhi (40 - 31),1
"Wednesday, 06 August",Dabang Delhi beat Bengal Warriors (46 - 36),1
"Thursday, 07 August",Patna Pirates beat Puneri Paltan (35 - 27),1
"Friday, 08 August",Bengal Warriors beat Telugu Titans (40 - 35),1
"Friday, 08 August",Match Drawn (37 - 37),1
"Saturday, 09 August",Jaipur Pink Panthers beat Telugu Titans (49 - 29),1
"Saturday, 09 August",Match Drawn (30 - 30),1
"Sunday, 10 August",Jaipur Pink Panthers beat Bengal Warriors (39 - 23),1
"Sunday, 10 August",Bengaluru Bulls beat Patna Pirates (37 - 35),1
"Tuesday, 12 August",Telugu Titans beat Puneri Paltan (42 - 36),1
"Wednesday, 13 August",Bengaluru Bulls beat U Mumba (33 - 30),1
"Wednesday, 13 August",Puneri Paltan beat Bengal Warriors (40 - 30),1
"Thursday, 14 August",Dabang Delhi beat Bengaluru Bulls (29 - 27),1
"Thursday, 14 August",Jaipur Pink Panthers beat Puneri Paltan (50 - 23),1
"Friday, 15 August",Dabang Delhi beat U Mumba (36 - 27),1
"Friday, 15 August",Patna Pirates beat Puneri Paltan (37 - 31),1
"Saturday, 16 August",Match Drawn (28 - 28),1
"Saturday, 16 August",Jaipur Pink Panthers beat Bengal Warriors (41 - 33),1
"Sunday, 17 August",Patna Pirates beat Jaipur Pink Panthers (52 - 30),1
"Sunday, 17 August",Telugu Titans beat U Mumba (44 - 43),1
"Monday, 18 August",Bengal Warriors beat Patna Pirates (30 - 28),1
"Monday, 18 August",Telugu Titans beat Puneri Paltan (60 - 24),1
"Tuesday, 19 August",Telugu Titans beat Dabang Delhi (45 - 26),1
"Wednesday, 20 August",Jaipur Pink Panthers beat Bengaluru Bulls (36 - 31),1
"Thursday, 21 August",Patna Pirates beat Bengal Warriors (36 - 32),1
"Thursday, 21 August",Match Drawn (31 - 31),1
"Friday, 22 August",Match Drawn (34 - 34),1
"Friday, 22 August",Jaipur Pink Panthers beat Dabang Delhi (41 - 31),1
"Saturday, 23 August",Telugu Titans beat Patna Pirates (32 - 29),1
"Saturday, 23 August",Jaipur Pink Panthers beat Puneri Paltan (33 - 27),1
"Sunday, 24 August",Bengaluru Bulls beat Bengal Warriors (37 - 24),1
"Sunday, 24 August",U Mumba beat Dabang Delhi (37 - 30),1
"Monday, 25 August",Dabang Delhi beat Puneri Paltan (45 - 22),1
"Monday, 25 August",Patna Pirates beat Bengaluru Bulls (33 - 31),1
"Tuesday, 26 August",Bengaluru Bulls beat Telugu Titans (27 - 26),1
"Wednesday, 27 August",U Mumba beat Puneri Paltan (36 - 35),1
"Wednesday, 27 August",Bengaluru Bulls beat Jaipur Pink Panthers (30 - 29),1
"Friday, 29 August",Jaipur Pink Panthers beat Patna Pirates (38 - 18),1
"Friday, 29 August",U Mumba beat Bengaluru Bulls (27 - 23),1
"Sunday, 31 August",Patna Pirates beat Bengaluru Bulls (29 - 22),1
"Sunday, 31 August",Jaipur Pink Panthers beat U Mumba (35 - 24),1
"Saturday, 18 July",U Mumba beat Jaipur Pink Panthers (29-28),2
"Saturday, 18 July",Bengaluru Bulls beat Bengal Warriors (33-25),2
"Sunday, 19 July",Telugu Titans beat Dabang Delhi (36-27),2
"Sunday, 19 July",U Mumba beat Bengaluru Bulls (36-23),2
"Monday, 20 July",Telugu Titans beat Puneri Paltan (45-24),2
"Monday, 20 July",U Mumba beat Patna Pirates (25-20),2
"Tuesday, 21 July",U Mumba beat Puneri Paltan (28-21),2
"Wednesday, 22 July",Bengal Warriors beat Jaipur Pink Panthers (28-26),2
