Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,125,14,14,16,14,24,23,20,bengal-warriors
wins,56,4,4,9,3,11,12,13,bengal-warriors
draws,15,1,1,0,2,6,2,3,bengal-warriors
losses,54,9,9,7,9,7,9,4,bengal-warriors
Finishing Position,-,7,6,4,8,1,2,2,bengal-warriors
highest score,--48-vs---,--42-vs---,--39-vs---,--37-vs---,--34-vs---,--44-vs---,--44-vs---,--48-vs---,bengal-warriors
Biggest Winning Margin,---31-----17--vs---48----,---5-----40--vs---35----,---3-----17--vs---20----,---17-----34--vs---17----,---8-----31--vs---23----,---20-----40--vs---20----,---16-----39--vs---23----,---31-----17--vs---48----,bengal-warriors
Total Raids,5310,546,595,702,602,1079,963,823,bengal-warriors
Successful Raids,1786,213,134,213,167,379,340,340,bengal-warriors
unsuccessful raid,1149,146,151,144,125,223,201,159,bengal-warriors
empty raids,2375,187,310,345,310,477,422,324,bengal-warriors
success raid %,42%,52%,31%,36%,34%,42%,45%,52%,bengal-warriors
no. of super raids,70,11,9,4,4,11,16,15,bengal-warriors
raid touch points,1749,220,151,204,154,333,341,346,bengal-warriors
raid bonus points,487,63,33,46,48,122,95,80,bengal-warriors
Total Raid Points,2236,283,184,250,202,455,436,426,bengal-warriors
Total Tackles,2835,381,306,329,318,521,508,472,bengal-warriors
successful tackles,1025,106,116,137,117,181,186,182,bengal-warriors
unsuccesful tackles,1810,275,190,192,201,340,322,290,bengal-warriors
successful tackle %,39%,32%,44%,46%,39%,37%,39%,41%,bengal-warriors
no. of super tackles,98,16,21,13,8,12,16,12,bengal-warriors
all outs inflicted,133,11,10,17,11,27,23,34,bengal-warriors
total all out points,266,22,20,34,22,54,46,68,bengal-warriors
total defence points,1118,122,136,150,125,193,200,192,bengal-warriors
