Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,125,16,16,14,14,22,24,19,bengaluru-bulls
wins,58,8,10,2,5,8,15,10,bengaluru-bulls
draws,8,1,0,0,1,3,2,1,bengaluru-bulls
losses,59,7,6,12,8,11,7,8,bengaluru-bulls
Finishing Position,-,3,3,7,6,4,1,4,bengaluru-bulls
highest score,--64-vs---,--47-vs---,--43-vs---,--36-vs---,--33-vs---,--64-vs---,--48-vs---,--47-vs---,bengaluru-bulls
Biggest Winning Margin,---40-----64--vs---24----,---19-----28--vs---47----,---19-----40--vs---21----,---10-----36--vs---26----,---2-----29--vs---27----,---40-----64--vs---24----,---16-----44--vs---28----,---21-----26--vs---47----,bengaluru-bulls
Total Raids,5327,647,730,603,605,943,1005,794,bengaluru-bulls
Successful Raids,1810,225,194,158,157,336,431,309,bengaluru-bulls
unsuccessful raid,1245,172,163,148,143,195,211,213,bengaluru-bulls
empty raids,2272,250,373,297,305,412,363,272,bengaluru-bulls
success raid %,43%,45%,35%,35%,33%,42%,54%,49%,bengaluru-bulls
no. of super raids,63,7,10,9,4,5,20,8,bengaluru-bulls
raid touch points,1811,244,222,181,147,294,428,295,bengaluru-bulls
raid bonus points,475,47,30,28,54,99,119,98,bengaluru-bulls
Total Raid Points,2286,291,252,209,201,393,547,393,bengaluru-bulls
Total Tackles,2740,353,341,291,287,480,550,438,bengaluru-bulls
successful tackles,1086,153,158,94,109,185,219,168,bengaluru-bulls
unsuccesful tackles,1654,200,183,197,178,295,331,270,bengaluru-bulls
successful tackle %,43%,46%,48%,34%,43%,42%,42%,44%,bengaluru-bulls
no. of super tackles,93,10,7,7,15,17,12,25,bengaluru-bulls
all outs inflicted,152,20,25,12,9,28,37,21,bengaluru-bulls
total all out points,304,40,50,24,18,56,74,42,bengaluru-bulls
total defence points,1172,163,164,100,124,200,230,191,bengaluru-bulls
