Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,122,14,14,14,14,22,24,20,dabang-delhi-kc
wins,46,5,4,1,4,5,12,15,dabang-delhi-kc
draws,9,1,1,1,1,1,2,2,dabang-delhi-kc
losses,67,8,9,12,9,16,10,3,dabang-delhi-kc
Finishing Position,-,6,6,8,7,6,3,1,dabang-delhi-kc
highest score,--60-vs---,--46-vs---,--45-vs---,--36-vs---,--41-vs---,--38-vs---,--48-vs---,--60-vs---,dabang-delhi-kc
Biggest Winning Margin,---23-----45--vs---22----,---23-----45--vs---22----,---19-----45--vs---26----,---14-----21--vs---35----,---21-----41--vs---20----,---8-----38--vs---30----,---13-----48--vs---35----,---20-----41--vs---21----,dabang-delhi-kc
Total Raids,5159,559,585,614,619,973,997,812,dabang-delhi-kc
Successful Raids,1783,246,159,171,162,283,401,361,dabang-delhi-kc
unsuccessful raid,1171,139,151,162,120,214,224,161,dabang-delhi-kc
empty raids,2205,174,275,281,337,476,372,290,dabang-delhi-kc
success raid %,43%,51%,37%,38%,37%,35%,48%,54%,dabang-delhi-kc
no. of super raids,62,5,14,5,11,6,13,8,dabang-delhi-kc
raid touch points,1698,228,174,175,170,260,367,324,dabang-delhi-kc
raid bonus points,527,57,43,58,56,84,116,113,dabang-delhi-kc
Total Raid Points,2225,285,217,233,226,344,483,437,dabang-delhi-kc
Total Tackles,2891,370,333,346,306,497,559,480,dabang-delhi-kc
successful tackles,998,124,122,98,116,159,198,181,dabang-delhi-kc
unsuccesful tackles,1893,246,211,248,190,338,361,299,dabang-delhi-kc
successful tackle %,38%,36%,41%,32%,44%,34%,39%,39%,dabang-delhi-kc
no. of super tackles,96,10,14,13,20,12,19,8,dabang-delhi-kc
all outs inflicted,141,18,13,9,15,18,34,34,dabang-delhi-kc
total all out points,282,36,26,18,30,36,68,68,dabang-delhi-kc
total defence points,1087,134,136,111,134,169,216,187,dabang-delhi-kc
