Stat_desc,Overall,Season5,Season6,Season7,Team
Matches Played,69,24,25,20,gujarat-fortunegiants
wins,40,16,18,6,gujarat-fortunegiants
draws,7,3,2,2,gujarat-fortunegiants
losses,22,5,5,12,gujarat-fortunegiants
Finishing Position,-,1,1,8,gujarat-fortunegiants
highest score,--50-vs---,--45-vs---,--47-vs---,--50-vs---,gujarat-fortunegiants
Biggest Winning Margin,---29-----50--vs---21----,---25-----42--vs---17----,---18-----27--vs---45----,---29-----50--vs---21----,gujarat-fortunegiants
Total Raids,2948,1055,1072,821,gujarat-fortunegiants
Successful Raids,992,335,392,821,gujarat-fortunegiants
unsuccessful raid,677,211,392,220,gujarat-fortunegiants
empty raids,1279,509,434,336,gujarat-fortunegiants
success raid %,41%,38%,45%,39%,gujarat-fortunegiants
no. of super raids,26,11,10,5,gujarat-fortunegiants
raid touch points,986,346,385,255,gujarat-fortunegiants
raid bonus points,219,59,95,65,gujarat-fortunegiants
Total Raid Points,1205,405,480,320,gujarat-fortunegiants
Total Tackles,1500,497,586,417,gujarat-fortunegiants
successful tackles,687,242,258,187,gujarat-fortunegiants
unsuccesful tackles,813,255,328,230,gujarat-fortunegiants
successful tackle %,49%,51%,47%,49%,gujarat-fortunegiants
no. of super tackles,47,12,18,17,gujarat-fortunegiants
all outs inflicted,93,36,36,21,gujarat-fortunegiants
total all out points,186,72,72,42,gujarat-fortunegiants
total defence points,731,254,274,203,gujarat-fortunegiants
