Stat_desc,Overall,Season5,Season6,Season7,Team
Matches Played,64,23,22,19,haryana-steelers
wins,31,13,6,12,haryana-steelers
draws,7,4,2,1,haryana-steelers
losses,26,6,14,6,haryana-steelers
Finishing Position,-,3,6,3,haryana-steelers
highest score,--47-vs---,--42-vs---,--43-vs---,--47-vs---,haryana-steelers
Biggest Winning Margin,---22-----25--vs---47----,---18-----24--vs---42----,---11-----32--vs---43----,---22-----25--vs---47----,haryana-steelers
Total Raids,2770,1030,941,799,haryana-steelers
Successful Raids,978,327,361,799,haryana-steelers
unsuccessful raid,610,206,361,174,haryana-steelers
empty raids,1182,497,350,335,haryana-steelers
success raid %,44%,39%,48%,47%,haryana-steelers
no. of super raids,38,12,12,14,haryana-steelers
raid touch points,936,324,306,306,haryana-steelers
raid bonus points,292,80,141,71,haryana-steelers
Total Raid Points,1228,404,447,377,haryana-steelers
Total Tackles,1581,544,562,475,haryana-steelers
successful tackles,567,206,180,181,haryana-steelers
unsuccesful tackles,1014,338,382,294,haryana-steelers
successful tackle %,39%,42%,34%,41%,haryana-steelers
no. of super tackles,50,21,15,14,haryana-steelers
all outs inflicted,70,27,16,27,haryana-steelers
total all out points,140,54,32,54,haryana-steelers
total defence points,615,227,193,195,haryana-steelers
