Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,124,16,14,14,16,22,22,20,jaipur-pink-panthers
wins,53,12,6,4,9,8,6,8,jaipur-pink-panthers
draws,11,1,1,2,1,1,3,2,jaipur-pink-panthers
losses,60,3,7,8,6,13,13,10,jaipur-pink-panthers
Finishing Position,-,1,5,6,3,5,5,7,jaipur-pink-panthers
highest score,--51-vs---,--50-vs---,--51-vs---,--39-vs---,--51-vs---,--39-vs---,--45-vs---,--44-vs---,jaipur-pink-panthers
Biggest Winning Margin,---30-----21--vs---51----,---27-----23--vs---50----,---30-----21--vs---51----,---9-----30--vs---21----,---25-----26--vs---51----,---11-----36--vs---25----,---17-----45--vs---28----,---19-----23--vs---42----,jaipur-pink-panthers
Total Raids,5226,621,599,593,666,962,949,836,jaipur-pink-panthers
Successful Raids,1688,270,183,149,203,288,334,261,jaipur-pink-panthers
unsuccessful raid,1229,125,152,152,139,236,220,205,jaipur-pink-panthers
empty raids,2309,226,264,292,324,438,395,370,jaipur-pink-panthers
success raid %,41%,55%,39%,33%,41%,37%,44%,40%,jaipur-pink-panthers
no. of super raids,61,9,5,8,6,13,13,7,jaipur-pink-panthers
raid touch points,1704,291,189,147,221,297,313,246,jaipur-pink-panthers
raid bonus points,440,53,43,46,49,56,102,91,jaipur-pink-panthers
Total Raid Points,2144,344,232,193,270,353,415,337,jaipur-pink-panthers
Total Tackles,2784,400,298,274,319,459,551,483,jaipur-pink-panthers
successful tackles,1055,158,124,101,119,162,202,189,jaipur-pink-panthers
unsuccesful tackles,1729,242,174,173,200,297,349,294,jaipur-pink-panthers
successful tackle %,42%,42%,48%,43%,42%,37%,41%,45%,jaipur-pink-panthers
no. of super tackles,130,12,18,16,17,10,25,32,jaipur-pink-panthers
all outs inflicted,137,29,17,11,17,22,22,19,jaipur-pink-panthers
total all out points,274,58,34,22,34,44,44,38,jaipur-pink-panthers
total defence points,1179,170,142,117,135,171,225,219,jaipur-pink-panthers
