match_date,Season,win,score,team_name
"Saturday, 26 July",1,0,31,Jaipur Pink Panthers
"Saturday, 26 July",1,0,28,Dabang Delhi
"Sunday, 27 July",1,0,37,Puneri Paltan
"Sunday, 27 July",1,0,25,Bengal Warriors
"Monday, 28 July",1,0,31,Puneri Paltan
"Tuesday, 29 July",1,0,33,Patna Pirates
"Wednesday, 30 July",1,0,30,Bengal Warriors
"Thursday, 31 July",1,0,32,Telugu Titans
"Thursday, 31 July",1,0,40,Dabang Delhi
"Friday, 01 August",1,0,35,Telugu Titans
"Friday, 01 August",1,0,35,Puneri Paltan
"Saturday, 02 August",1,0,18,Patna Pirates
"Saturday, 02 August",1,0,29,Bengal Warriors
"Sunday, 03 August",1,0,35,Dabang Delhi
"Sunday, 03 August",1,0,31,Bengaluru Bulls
"Monday, 04 August",1,0,28,Puneri Paltan
"Monday, 04 August",1,0,31,Dabang Delhi
"Tuesday, 05 August",1,0,34,Bengaluru Bulls
"Tuesday, 05 August",1,0,31,Dabang Delhi
"Wednesday, 06 August",1,0,36,Bengal Warriors
"Thursday, 07 August",1,0,27,Puneri Paltan
"Friday, 08 August",1,0,35,Telugu Titans
"Saturday, 09 August",1,0,29,Telugu Titans
"Sunday, 10 August",1,0,23,Bengal Warriors
"Sunday, 10 August",1,0,35,Patna Pirates
"Tuesday, 12 August",1,0,36,Puneri Paltan
"Wednesday, 13 August",1,0,30,U Mumba
"Wednesday, 13 August",1,0,30,Bengal Warriors
"Thursday, 14 August",1,0,27,Bengaluru Bulls
"Thursday, 14 August",1,0,23,Puneri Paltan
"Friday, 15 August",1,0,27,U Mumba
"Friday, 15 August",1,0,31,Puneri Paltan
"Saturday, 16 August",1,0,33,Bengal Warriors
"Sunday, 17 August",1,0,30,Jaipur Pink Panthers
"Sunday, 17 August",1,0,43,U Mumba
"Monday, 18 August",1,0,28,Patna Pirates
"Monday, 18 August",1,0,24,Puneri Paltan
"Tuesday, 19 August",1,0,26,Dabang Delhi
"Wednesday, 20 August",1,0,31,Bengaluru Bulls
"Thursday, 21 August",1,0,32,Bengal Warriors
"Friday, 22 August",1,0,31,Dabang Delhi
"Saturday, 23 August",1,0,29,Patna Pirates
"Saturday, 23 August",1,0,27,Puneri Paltan
"Sunday, 24 August",1,0,24,Bengal Warriors
"Sunday, 24 August",1,0,30,Dabang Delhi
"Monday, 25 August",1,0,22,Puneri Paltan
"Monday, 25 August",1,0,31,Bengaluru Bulls
"Tuesday, 26 August",1,0,26,Telugu Titans
"Wednesday, 27 August",1,0,35,Puneri Paltan
"Wednesday, 27 August",1,0,29,Jaipur Pink Panthers
"Friday, 29 August",1,0,18,Patna Pirates
"Friday, 29 August",1,0,23,Bengaluru Bulls
"Sunday, 31 August",1,0,22,Bengaluru Bulls
"Sunday, 31 August",1,0,24,U Mumba
"Saturday, 18 July",2,0,28,Jaipur Pink Panthers
"Saturday, 18 July",2,0,25,Bengal Warriors
"Sunday, 19 July",2,0,27,Dabang Delhi
"Sunday, 19 July",2,0,23,Bengaluru Bulls
"Monday, 20 July",2,0,24,Puneri Paltan
"Monday, 20 July",2,0,20,Patna Pirates
"Tuesday, 21 July",2,0,21,Puneri Paltan
"Wednesday, 22 July",2,0,26,Jaipur Pink Panthers
"Wednesday, 22 July",2,0,26,Patna Pirates
"Thursday, 23 July",2,0,30,Bengal Warriors
"Friday, 24 July",2,0,37,Puneri Paltan
"Friday, 24 July",2,0,25,Bengal Warriors
"Saturday, 25 July",2,0,26,Puneri Paltan
"Saturday, 25 July",2,0,21,Bengal Warriors
"Sunday, 26 July",2,0,23,Jaipur Pink Panthers
"Sunday, 26 July",2,0,26,Telugu Titans
"Monday, 27 July",2,0,18,Dabang Delhi
"Monday, 27 July",2,0,22,Jaipur Pink Panthers
"Tuesday, 28 July",2,0,23,Bengaluru Bulls
"Wednesday, 29 July",2,0,29,Bengal Warriors
"Wednesday, 29 July",2,0,27,Jaipur Pink Panthers
"Thursday, 30 July",2,0,22,Patna Pirates
