Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,131,16,16,16,16,26,22,19,patna-pirates
wins,68,8,7,12,12,14,9,6,patna-pirates
draws,13,2,1,2,0,5,2,1,patna-pirates
losses,50,6,8,2,4,7,11,12,patna-pirates
Finishing Position,-,4,4,2,1,2,4,9,patna-pirates
highest score,--69-vs---,--52-vs---,--39-vs---,--67-vs---,--38-vs---,--69-vs---,--53-vs---,--55-vs---,patna-pirates
Biggest Winning Margin,---39-----69--vs---30----,---22-----30--vs---52----,---17-----21--vs---38----,---33-----34--vs---67----,---15-----23--vs---38----,---39-----69--vs---30----,---20-----50--vs---30----,---26-----25--vs---51----,patna-pirates
Total Raids,5643,638,701,703,692,1173,934,802,patna-pirates
Successful Raids,2066,253,182,241,206,487,406,291,patna-pirates
unsuccessful raid,1222,134,159,129,152,238,226,184,patna-pirates
empty raids,2355,251,360,333,334,448,302,327,patna-pirates
success raid %,47%,50%,33%,46%,38%,54%,53%,46%,patna-pirates
no. of super raids,90,13,4,16,7,26,11,13,patna-pirates
raid touch points,2115,252,185,272,224,508,376,298,patna-pirates
raid bonus points,518,64,43,52,40,129,120,70,patna-pirates
Total Raid Points,2633,316,228,324,264,637,496,368,patna-pirates
Total Tackles,3121,380,376,405,332,625,555,448,patna-pirates
successful tackles,1176,124,152,175,145,226,186,168,patna-pirates
unsuccesful tackles,1945,256,224,230,187,399,369,280,patna-pirates
successful tackle %,42%,37%,44%,45%,52%,40%,36%,43%,patna-pirates
no. of super tackles,131,18,13,7,27,27,16,23,patna-pirates
all outs inflicted,193,18,13,30,19,55,30,28,patna-pirates
total all out points,386,36,26,60,38,110,60,56,patna-pirates
total defence points,1303,142,164,182,171,252,201,191,patna-pirates
