player_name,season,matches_played,team,avg-raid
Naveen Kumar,1,20,dabang-delhi-kc,12.8
Pardeep Narwal,1,19,patna-pirates,12.79
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,12.74
Maninder Singh,1,20,bengal-warriors,10.25
Siddharth Sirish Desai,1,18,telugu-titans,9.67
Vikash Kandola,1,16,haryana-steelers,9.56
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,7.3
Abhishek Singh,1,17,u-mumba,6.94
Pankaj Mohite,1,16,puneri-paltan,6.88
V. Ajith Kumar,1,17,tamil-thalaivas,6.69
Shrikant Jadhav,1,18,up-yoddha,6.33
Rahul Chaudhari,1,20,tamil-thalaivas,5.9
Rohit Gulia,1,20,gujarat-fortunegiants,5.9
K. Prapanjan,1,18,bengal-warriors,5.82
Chandran Ranjit,1,19,dabang-delhi-kc,5.58
Sachin Tanwar,1,16,gujarat-fortunegiants,5.25
Manjeet,1,20,puneri-paltan,5.2
Rohit Kumar,1,17,bengaluru-bulls,5.18
Vinay,1,19,haryana-steelers,4.84
Arjun Deshwal,1,16,u-mumba,4.75
Nitin Tomar,1,13,puneri-paltan,4.5
Ajay Thakur,1,13,tamil-thalaivas,4.46
Prashanth Kumar Rai,1,13,haryana-steelers,4.46
Monu Goyat,1,10,up-yoddha,4.3
Rajnish,1,10,telugu-titans,4.3
Pawan Kumar Kadian,1,6,puneri-paltan,4.17
Suraj Desai,1,12,telugu-titans,4
Naveen,1,14,haryana-steelers,4
Emad Sedaghatnia,1,2,puneri-paltan,4
Jang Kun Lee,1,13,patna-pirates,3.77
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,3.75
Surender Gill,1,15,up-yoddha,3.6
Sonu Jaglan,1,15,gujarat-fortunegiants,3.47
Athul MS,1,15,u-mumba,3.4
Rishank Devadiga,1,14,up-yoddha,3.29
Deepak Narwal,1,17,jaipur-pink-panthers,3.24
Nilesh Salunke,1,17,jaipur-pink-panthers,3.12
Sukesh Hegde,1,13,bengal-warriors,3.08
Rakesh Narwal,1,2,bengal-warriors,3
Rohit Baliyan,1,16,u-mumba,2.75
Sushil Gulia,1,7,jaipur-pink-panthers,2.71
Amit Kumar,1,6,puneri-paltan,2.67
More GB,1,17,gujarat-fortunegiants,2.53
Surender Singh,1,4,up-yoddha,2.5
Nitin Rawal,1,15,jaipur-pink-panthers,2.46
Rakesh Gowda,1,9,telugu-titans,2.44
Sumit Singh,1,15,bengaluru-bulls,2.4
Meraj Sheykh,1,13,dabang-delhi-kc,2.31
Vijay,1,19,dabang-delhi-kc,2.22
Dong Geon Lee,1,5,u-mumba,2.2
Gurvinder Singh,1,2,gujarat-fortunegiants,2
Victor Onyango Obiero,1,3,tamil-thalaivas,2
Ankush,1,3,up-yoddha,2
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,1.94
Selvamani K,1,7,haryana-steelers,1.83
Banty,1,11,bengaluru-bulls,1.8
Amit Kumar,1,3,patna-pirates,1.67
Shabeer Bappu,1,14,tamil-thalaivas,1.57
Azad Singh,1,4,up-yoddha,1.5
