player_name,season,matches_played,team,avg-tackle
Manjeet Chhillar,1,12,puneri-paltan,3.67
Mohit Chhillar,1,14,bengaluru-bulls,3.36
Fazel Atrachali,1,16,patna-pirates,3.25
Amit Hooda,1,16,jaipur-pink-panthers,3.19
Sachin Shingade,1,14,dabang-delhi-kc,3.14
Vishal Bhardwaj,1,2,telugu-titans,3
Sandeep Kumar Dhull,1,12,telugu-titans,2.92
Dharmaraj Cheralathan,1,14,patna-pirates,2.79
Ravinder Pahal,1,14,puneri-paltan,2.64
PO Surjeet Singh,1,14,u-mumba,2.64
Sandeep Narwal,1,16,telugu-titans,2.63
Surender Nada,1,13,bengaluru-bulls,2.54
Vinod Kumar,1,12,telugu-titans,2.5
Kuldeep Singh,1,15,patna-pirates,2.27
Vishal Mane,1,14,bengal-warriors,2.21
Nilesh Shinde,1,12,bengal-warriors,2.17
Joginder Singh Narwal,1,16,puneri-paltan,2.13
Girish Maruti Ernak,1,12,bengal-warriors,2.08
Umesh Mhatre,1,2,dabang-delhi-kc,2
Jeeva Kumar,1,14,u-mumba,1.86
Rakesh Kumar,1,14,u-mumba,1.86
Sanket Chavan,1,6,dabang-delhi-kc,1.83
Ran Singh,1,16,jaipur-pink-panthers,1.75
Hadi Oshtorak,1,7,patna-pirates,1.71
Anil Kumar,1,9,dabang-delhi-kc,1.67
Ashish Kumar,1,14,bengaluru-bulls,1.64
Sunil,1,10,u-mumba,1.6
Bajirao Hodage,1,14,patna-pirates,1.57
Jasmer Singh Gulia,1,13,telugu-titans,1.46
S Mahalingam,1,11,telugu-titans,1.45
Amit Singh Chhillar,1,9,bengal-warriors,1.44
D. Gopu,1,5,dabang-delhi-kc,1.4
Somvir Shekhar,1,16,puneri-paltan,1.38
D. Suresh Kumar,1,14,dabang-delhi-kc,1.36
Rajesh Narwal,1,16,jaipur-pink-panthers,1.19
Prashant Chavan,1,9,dabang-delhi-kc,1.11
C. Arun,1,14,bengal-warriors,1.07
Rupesh Tomar,1,3,telugu-titans,1
Ajay Singh,1,1,bengaluru-bulls,1
Shabeer Bappu,1,12,jaipur-pink-panthers,0.92
Meraj Sheykh,1,14,dabang-delhi-kc,0.86
Kashiling Adake,1,13,dabang-delhi-kc,0.85
Surjeet Narwal,1,5,bengal-warriors,0.8
Anup Kumar,1,14,u-mumba,0.71
Mahipal Narwal,1,14,jaipur-pink-panthers,0.64
Rohit Rana,1,5,jaipur-pink-panthers,0.6
Sagar B Krishna,1,11,telugu-titans,0.55
Rohit Kumar,1,14,bengaluru-bulls,0.5
Manoj Kumar,1,8,bengaluru-bulls,0.5
Anil Kumar,1,4,patna-pirates,0.5
Jasvir Singh,1,14,jaipur-pink-panthers,0.43
Parvesh Bhainswal,1,7,jaipur-pink-panthers,0.43
CPO Surjeet Singh,1,10,patna-pirates,0.4
Yogesh Hooda,1,5,bengaluru-bulls,0.4
Jang Kun Lee,1,11,bengal-warriors,0.36
Jawahar Dagar,1,6,jaipur-pink-panthers,0.33
Monu Goyat,1,13,bengal-warriors,0.31
Suresu Kumar,1,11,u-mumba,0.27
Preetam Chhillar,1,8,puneri-paltan,0.25
Deepak Niwas Hooda,1,16,puneri-paltan,0.25
Rahul Chaudhari,1,16,telugu-titans,0.25
Vijin Thangadurai,1,9,patna-pirates,0.22
Rahul Kumar,1,9,bengaluru-bulls,0.22
Surender Singh,1,11,u-mumba,0.18
Nitin Madane,1,13,bengal-warriors,0.15
Rajesh Mondal,1,15,patna-pirates,0.13
Parmod Narwal,1,8,puneri-paltan,0.13
Pardeep Narwal,1,16,patna-pirates,0.13
Tushar Patil,1,8,jaipur-pink-panthers,0.13
Pawan Kumar Kadian,1,9,bengaluru-bulls,0.11
Vinod Kumar,1,9,bengaluru-bulls,0.11
Nitin Tomar,1,12,puneri-paltan,0.08
Nilesh Salunke,1,15,telugu-titans,0.07
Ajay Thakur,1,16,puneri-paltan,0.06
Jeeva Gopal,1,5,bengaluru-bulls,0
Rishank Devadiga,1,14,u-mumba,0
Sukesh Hegde,1,9,telugu-titans,0
Selvamani K,1,13,dabang-delhi-kc,0
Ravi Kumar,1,5,bengal-warriors,0
Ajay Kumar,1,15,jaipur-pink-panthers,0
