player_name,season,matches_played,team,do-or
Ajay Thakur,1,13,bengaluru-bulls,34
Rohit Kumar Choudary,1,14,dabang-delhi-kc,33
Sukesh Hegde,1,13,telugu-titans,26
Rishank Devadiga,1,13,u-mumba,25
Shabeer Bappu,1,10,u-mumba,22
Kashiling Adake,1,14,dabang-delhi-kc,20
Gurvinder Singh,1,16,patna-pirates,19
Rajesh Mondal,1,15,bengaluru-bulls,18
Mahendra Ganesh Rajput,1,12,bengal-warriors,18
Jang Kun Lee,1,14,bengal-warriors,15
Deepak Narwal,1,16,patna-pirates,15
Prashanth Kumar Rai,1,15,telugu-titans,14
Rajesh Narwal,1,14,jaipur-pink-panthers,14
Rahul Chaudhari,1,14,telugu-titans,14
Sonu Narwal,1,11,jaipur-pink-panthers,12
Bhupender Singh,1,11,u-mumba,11
Pravin Niwale,1,8,puneri-paltan,9
Kedar Lal,1,9,bengal-warriors,9
Rakesh Narwal,1,11,bengaluru-bulls,9
Ravi Dalal,1,11,patna-pirates,8
Sunil Jaipal,1,10,bengal-warriors,8
Deepak Niwas Hooda,1,15,telugu-titans,8
Anup Kumar,1,14,u-mumba,8
Jasvir Singh,1,13,jaipur-pink-panthers,7
Wazir Singh,1,11,puneri-paltan,7
Sandeep Narwal,1,16,patna-pirates,6
Pawan Kumar Kadian,1,10,u-mumba,6
Tushar Patil,1,6,puneri-paltan,6
Kuldeep Singh,1,14,jaipur-pink-panthers,6
Yogesh Hooda,1,4,puneri-paltan,5
Ran Singh,1,14,jaipur-pink-panthers,5
Pradeep Kumar,1,6,u-mumba,5
Jitesh Joshi,1,5,puneri-paltan,5
Kalimuthu Balamahendran,1,6,puneri-paltan,5
Mahipal Narwal,1,9,puneri-paltan,4
Manjeet Chhillar,1,16,bengaluru-bulls,4
Tae Deok Eom,1,8,patna-pirates,4
Rakesh Kumar,1,4,patna-pirates,4
Sanjay Kumar,1,7,puneri-paltan,4
Sachin Vittala,1,4,puneri-paltan,4
Deepak Kumar Dahiya,1,2,bengaluru-bulls,4
Pardeep Narwal,1,6,bengaluru-bulls,4
Dinesh Kumar,1,8,bengal-warriors,4
Ashish Chhokar,1,6,bengaluru-bulls,3
Ravi V.,1,2,puneri-paltan,3
Amit Om Prakash Rathi,1,5,puneri-paltan,3
Vijay Malik,1,7,patna-pirates,3
Gangadhari Mallesh,1,10,jaipur-pink-panthers,3
Shrikant Tewthia,1,9,dabang-delhi-kc,3
Dharmaraj Cheralathan,1,15,bengaluru-bulls,2
Dadaso Balaso Awad,1,7,dabang-delhi-kc,2
Mahesh Goud,1,1,bengal-warriors,2
Vineet Sharma,1,8,bengal-warriors,2
Meraj Sheykh,1,15,telugu-titans,2
K. Prapanjan,1,4,u-mumba,2
Sandeep Tomar,1,3,dabang-delhi-kc,1
Amit Hooda,1,12,patna-pirates,1
Surender Singh,1,2,puneri-paltan,1
Isac Antony,1,7,telugu-titans,1
Ashish Kumar,1,5,bengaluru-bulls,1
Rohit Baliyan,1,5,telugu-titans,1
Selvamani K,1,10,dabang-delhi-kc,1
Amit Kumar Tomar,1,9,dabang-delhi-kc,1
Nilesh Shinde,1,12,bengal-warriors,1
Sinotharan Kanesharajah,1,2,bengaluru-bulls,1
Suresu Kumar,1,1,u-mumba,1
Surender Nada,1,14,u-mumba,1
