player_name,season,matches_played,team,high-5s
Surender Nada,1,21,haryana-steelers,9
PO Surjeet Singh,1,24,bengal-warriors,9
Girish Maruti Ernak,1,21,puneri-paltan,5
Vishal Bhardwaj,1,22,telugu-titans,5
Jaideep,1,26,patna-pirates,5
Nitesh Kumar,1,19,up-yoddha,4
Fazel Atrachali,1,24,gujarat-fortunegiants,4
Surender Singh,1,22,u-mumba,3
Mahender Singh,1,22,bengaluru-bulls,3
Sunil Kumar,1,24,gujarat-fortunegiants,3
Sagar B Krishna,1,17,up-yoddha,3
Ravinder Pahal,1,19,bengaluru-bulls,3
Kuldeep Singh,1,16,bengaluru-bulls,3
Manjeet Chhillar,1,15,jaipur-pink-panthers,3
Nilesh Shinde,1,15,dabang-delhi-kc,3
Mohit Chhillar,1,20,haryana-steelers,2
Parvesh Bhainswal,1,24,gujarat-fortunegiants,2
Amit Hooda,1,22,tamil-thalaivas,2
Ran Singh,1,23,bengal-warriors,2
Abozar Mohajermighani,1,24,gujarat-fortunegiants,2
Sombir,1,17,telugu-titans,2
Akshay Jadhav,1,10,puneri-paltan,1
Ziaur Rahman,1,16,puneri-paltan,1
Sidharth,1,21,jaipur-pink-panthers,1
Sunil Siddhgavali,1,12,jaipur-pink-panthers,1
Darshan J.,1,20,tamil-thalaivas,1
Satpal,1,10,dabang-delhi-kc,1
Monu,1,19,puneri-paltan,1
Rinku Narwal,1,13,puneri-paltan,1
Vishal,1,5,dabang-delhi-kc,1
Vijay,1,19,patna-pirates,1
Kuldeep Singh,1,5,haryana-steelers,1
Jeeva Kumar,1,22,up-yoddha,1
C. Arun,1,20,tamil-thalaivas,1
Ashish Kumar,1,20,bengaluru-bulls,1
Sachin Kumar,1,9,bengaluru-bulls,1
Kuldeep Singh,1,20,u-mumba,1
Rakesh Singh Kumar,1,19,haryana-steelers,1
Shrikant Tewthia,1,23,bengal-warriors,1
Vishal Mane,1,26,patna-pirates,1
Sandeep Narwal,1,21,puneri-paltan,1
