player_name,season,matches_played,team,raid-points
Anup Kumar,1,16,u-mumba,155
Rahul Chaudhari,1,14,telugu-titans,151
Maninder Singh,1,16,jaipur-pink-panthers,130
Ajay Thakur,1,15,bengaluru-bulls,122
Kashiling Adake,1,14,dabang-delhi-kc,113
Surjeet Narwal,1,14,dabang-delhi-kc,113
Ravi Dalal,1,16,patna-pirates,111
Jasvir Singh,1,15,jaipur-pink-panthers,106
Wazir Singh,1,12,puneri-paltan,104
Nitin Madane,1,12,bengal-warriors,101
Sandeep Narwal,1,16,patna-pirates,92
Rakesh Kumar,1,12,patna-pirates,88
Deepak Niwas Hooda,1,14,telugu-titans,87
Sukesh Hegde,1,14,telugu-titans,79
Rajesh Narwal,1,16,jaipur-pink-panthers,72
Manjeet Chhillar,1,16,bengaluru-bulls,71
Shabeer Bappu,1,10,u-mumba,66
Rishank Devadiga,1,16,u-mumba,64
Jang Kun Lee,1,11,bengal-warriors,55
Mahesh Goud,1,13,bengal-warriors,51
Pawan Kumar Kadian,1,10,u-mumba,43
Shrikant Tewthia,1,14,dabang-delhi-kc,41
Jitesh Joshi,1,14,puneri-paltan,40
Rajesh Mondal,1,15,bengaluru-bulls,39
Sunil Jaipal,1,13,bengal-warriors,33
Mangesh Bhagat,1,8,puneri-paltan,27
Mahipal Narwal,1,5,puneri-paltan,24
Manoj Kumar,1,14,puneri-paltan,22
Mahendra Ganesh Rajput,1,8,bengal-warriors,21
Pravin Niwale,1,7,puneri-paltan,20
Deepak Kumar Dahiya,1,7,bengaluru-bulls,19
Waleed Al Hasani,1,6,puneri-paltan,14
Gangadhari Mallesh,1,10,jaipur-pink-panthers,13
Parmod Narwal,1,16,bengaluru-bulls,13
Dharmaraj Cheralathan,1,16,bengaluru-bulls,13
Kalimuthu Balamahendran,1,14,puneri-paltan,12
Ran Singh,1,10,jaipur-pink-panthers,11
Surender Nada,1,15,u-mumba,10
Shyam Kumar Sah,1,13,bengal-warriors,10
Gurvinder Singh,1,7,patna-pirates,9
Balbir Singh,1,8,jaipur-pink-panthers,9
Nilesh Shinde,1,14,bengal-warriors,7
Jasmer Singh Gulia,1,14,dabang-delhi-kc,7
Simon Kibura,1,4,puneri-paltan,6
Suresu Kumar,1,3,u-mumba,6
Chandran Ranjit,1,6,telugu-titans,6
Sachin Khambe,1,14,bengal-warriors,5
Preetam Chhillar,1,11,bengaluru-bulls,5
Prashanth Kumar Rai,1,7,telugu-titans,5
Mandeep Kumar,1,7,patna-pirates,5
Sinotharan Kanesharajah,1,1,bengaluru-bulls,4
Dovlet Boshimov,1,2,patna-pirates,4
Wajid Ali,1,4,telugu-titans,4
D. Gopu,1,15,telugu-titans,4
Ehsan Zamani Fard,1,8,dabang-delhi-kc,4
Ram Kumar Sah,1,9,patna-pirates,3
Punit Kumar Teotia,1,4,dabang-delhi-kc,3
Gurpreet Singh,1,16,bengaluru-bulls,2
Md. Aruduzzaman Munshi,1,5,u-mumba,2
Sunil Hanumanthappa,1,5,bengaluru-bulls,2
Girish Maruti Ernak,1,12,patna-pirates,2
Tae Deok Eom,1,9,patna-pirates,2
Takamitsu Kono,1,1,dabang-delhi-kc,1
Rupesh Tomar,1,5,telugu-titans,1
Mohit Chhillar,1,16,u-mumba,1
Dong Ju Hong,1,2,dabang-delhi-kc,1
Rakesh Singh Kumar,1,9,dabang-delhi-kc,1
Amit Singh Chhillar,1,14,dabang-delhi-kc,1
Prashant Chavan,1,15,jaipur-pink-panthers,1
Gurchet Singh,1,4,bengaluru-bulls,1
Samarjeet Singh,1,12,jaipur-pink-panthers,1
