player_name,season,matches_played,team,successful-raids
Anup Kumar,1,16,u-mumba,123
Rahul Chaudhari,1,14,telugu-titans,122
Maninder Singh,1,16,jaipur-pink-panthers,103
Surjeet Narwal,1,14,dabang-delhi-kc,98
Ajay Thakur,1,15,bengaluru-bulls,96
Kashiling Adake,1,14,dabang-delhi-kc,92
Ravi Dalal,1,16,patna-pirates,87
Wazir Singh,1,12,puneri-paltan,85
Jasvir Singh,1,15,jaipur-pink-panthers,83
Nitin Madane,1,12,bengal-warriors,78
Rakesh Kumar,1,12,patna-pirates,76
Deepak Niwas Hooda,1,14,telugu-titans,72
Sandeep Narwal,1,16,patna-pirates,68
Sukesh Hegde,1,14,telugu-titans,60
Rajesh Narwal,1,16,jaipur-pink-panthers,59
Manjeet Chhillar,1,16,bengaluru-bulls,53
Shabeer Bappu,1,10,u-mumba,51
Rishank Devadiga,1,16,u-mumba,45
Mahesh Goud,1,13,bengal-warriors,40
Jang Kun Lee,1,11,bengal-warriors,39
Shrikant Tewthia,1,14,dabang-delhi-kc,37
Pawan Kumar Kadian,1,10,u-mumba,32
Rajesh Mondal,1,15,bengaluru-bulls,32
Jitesh Joshi,1,14,puneri-paltan,31
Sunil Jaipal,1,13,bengal-warriors,22
Mangesh Bhagat,1,8,puneri-paltan,19
Mahendra Ganesh Rajput,1,8,bengal-warriors,17
Mahipal Narwal,1,5,puneri-paltan,16
Deepak Kumar Dahiya,1,7,bengaluru-bulls,15
Manoj Kumar,1,14,puneri-paltan,14
Pravin Niwale,1,7,puneri-paltan,12
Waleed Al Hasani,1,6,puneri-paltan,10
Gangadhari Mallesh,1,10,jaipur-pink-panthers,10
Parmod Narwal,1,16,bengaluru-bulls,10
Surender Nada,1,15,u-mumba,8
Dharmaraj Cheralathan,1,16,bengaluru-bulls,8
Kalimuthu Balamahendran,1,14,puneri-paltan,8
Jasmer Singh Gulia,1,14,dabang-delhi-kc,7
Balbir Singh,1,8,jaipur-pink-panthers,7
Shyam Kumar Sah,1,13,bengal-warriors,7
Suresu Kumar,1,3,u-mumba,6
Gurvinder Singh,1,7,patna-pirates,6
Nilesh Shinde,1,14,bengal-warriors,5
Simon Kibura,1,4,puneri-paltan,5
Prashanth Kumar Rai,1,7,telugu-titans,5
Ran Singh,1,10,jaipur-pink-panthers,5
Sachin Khambe,1,14,bengal-warriors,5
D. Gopu,1,15,telugu-titans,4
Chandran Ranjit,1,6,telugu-titans,4
Ehsan Zamani Fard,1,8,dabang-delhi-kc,3
Wajid Ali,1,4,telugu-titans,3
Dovlet Boshimov,1,2,patna-pirates,3
Preetam Chhillar,1,11,bengaluru-bulls,3
Ram Kumar Sah,1,9,patna-pirates,3
Md. Aruduzzaman Munshi,1,5,u-mumba,2
Girish Maruti Ernak,1,12,patna-pirates,2
Mandeep Kumar,1,7,patna-pirates,2
Punit Kumar Teotia,1,4,dabang-delhi-kc,2
Sinotharan Kanesharajah,1,1,bengaluru-bulls,2
Tae Deok Eom,1,9,patna-pirates,1
Takamitsu Kono,1,1,dabang-delhi-kc,1
Dong Ju Hong,1,2,dabang-delhi-kc,1
Amit Singh Chhillar,1,14,dabang-delhi-kc,1
Gurpreet Singh,1,16,bengaluru-bulls,1
Mohit Chhillar,1,16,u-mumba,1
Rakesh Singh Kumar,1,9,dabang-delhi-kc,1
Gurchet Singh,1,4,bengaluru-bulls,1
Prashant Chavan,1,15,jaipur-pink-panthers,1
Sunil Hanumanthappa,1,5,bengaluru-bulls,1
Rupesh Tomar,1,5,telugu-titans,1
