player_name,season,matches_played,team,successful-tackles
Amit Hooda,1,16,jaipur-pink-panthers,47
Fazel Atrachali,1,16,patna-pirates,45
Mohit Chhillar,1,14,bengaluru-bulls,44
Manjeet Chhillar,1,12,puneri-paltan,43
Sandeep Narwal,1,16,telugu-titans,40
Sachin Shingade,1,14,dabang-delhi-kc,39
Sandeep Kumar Dhull,1,12,telugu-titans,35
Ravinder Pahal,1,14,puneri-paltan,35
PO Surjeet Singh,1,14,u-mumba,33
Joginder Singh Narwal,1,16,puneri-paltan,32
Dharmaraj Cheralathan,1,14,patna-pirates,31
Vinod Kumar,1,12,telugu-titans,30
Surender Nada,1,13,bengaluru-bulls,29
Kuldeep Singh,1,15,patna-pirates,29
Vishal Mane,1,14,bengal-warriors,28
Ran Singh,1,16,jaipur-pink-panthers,27
Nilesh Shinde,1,12,bengal-warriors,26
Jeeva Kumar,1,14,u-mumba,24
Rakesh Kumar,1,14,u-mumba,23
Girish Maruti Ernak,1,12,bengal-warriors,23
Somvir Shekhar,1,16,puneri-paltan,21
Bajirao Hodage,1,14,patna-pirates,20
D. Suresh Kumar,1,14,dabang-delhi-kc,19
Jasmer Singh Gulia,1,13,telugu-titans,19
Rajesh Narwal,1,16,jaipur-pink-panthers,18
Ashish Kumar,1,14,bengaluru-bulls,17
Sunil,1,10,u-mumba,15
C. Arun,1,14,bengal-warriors,14
S Mahalingam,1,11,telugu-titans,14
Amit Singh Chhillar,1,9,bengal-warriors,13
Sanket Chavan,1,6,dabang-delhi-kc,11
Anil Kumar,1,9,dabang-delhi-kc,11
Prashant Chavan,1,9,dabang-delhi-kc,10
Anup Kumar,1,14,u-mumba,9
Hadi Oshtorak,1,7,patna-pirates,9
Meraj Sheykh,1,14,dabang-delhi-kc,9
Kashiling Adake,1,13,dabang-delhi-kc,8
Mahipal Narwal,1,14,jaipur-pink-panthers,7
Shabeer Bappu,1,12,jaipur-pink-panthers,6
Rohit Kumar,1,14,bengaluru-bulls,6
Sagar B Krishna,1,11,telugu-titans,6
Vishal Bhardwaj,1,2,telugu-titans,6
D. Gopu,1,5,dabang-delhi-kc,5
Surjeet Narwal,1,5,bengal-warriors,4
CPO Surjeet Singh,1,10,patna-pirates,4
Jasvir Singh,1,14,jaipur-pink-panthers,4
Deepak Niwas Hooda,1,16,puneri-paltan,4
Jang Kun Lee,1,11,bengal-warriors,4
Manoj Kumar,1,8,bengaluru-bulls,4
Rohit Rana,1,5,jaipur-pink-panthers,3
Rupesh Tomar,1,3,telugu-titans,3
Rahul Chaudhari,1,16,telugu-titans,3
Parvesh Bhainswal,1,7,jaipur-pink-panthers,3
Umesh Mhatre,1,2,dabang-delhi-kc,3
Suresu Kumar,1,11,u-mumba,3
Monu Goyat,1,13,bengal-warriors,3
Jawahar Dagar,1,6,jaipur-pink-panthers,2
Preetam Chhillar,1,8,puneri-paltan,2
Vijin Thangadurai,1,9,patna-pirates,2
Yogesh Hooda,1,5,bengaluru-bulls,2
Surender Singh,1,11,u-mumba,2
Rahul Kumar,1,9,bengaluru-bulls,2
Anil Kumar,1,4,patna-pirates,2
Rajesh Mondal,1,15,patna-pirates,2
Nitin Madane,1,13,bengal-warriors,1
Ajay Thakur,1,16,puneri-paltan,1
Shrikant Tewthia,1,4,jaipur-pink-panthers,1
Parmod Narwal,1,8,puneri-paltan,1
Pawan Kumar Kadian,1,9,bengaluru-bulls,1
Nitin Tomar,1,12,puneri-paltan,1
Nilesh Salunke,1,15,telugu-titans,1
Hadi Tajik,1,1,dabang-delhi-kc,1
Sumit Singh,1,5,bengaluru-bulls,1
Ajay Singh,1,1,bengaluru-bulls,1
Ravindra Ramesh Kumawat,1,2,bengal-warriors,1
Tushar Patil,1,8,jaipur-pink-panthers,1
Manoj Dhull,1,2,u-mumba,1
Pardeep Narwal,1,16,patna-pirates,1
Deepak Kumar Dahiya,1,7,bengaluru-bulls,1
Vinod Kumar,1,9,bengaluru-bulls,1
