player_name,season,matches_played,team,super-10s
CPO Surjeet Singh,1,12,dabang-delhi-kc,5
Pardeep Narwal,1,16,patna-pirates,5
Rohit Kumar,1,12,patna-pirates,5
Rahul Chaudhari,1,13,telugu-titans,4
Rishank Devadiga,1,16,u-mumba,2
Jang Kun Lee,1,15,bengal-warriors,2
Nitin Tomar,1,10,bengal-warriors,2
Rohit Baliyan,1,11,telugu-titans,2
Selvamani K,1,8,dabang-delhi-kc,1
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,1
Deepak Narwal,1,9,patna-pirates,1
Ajay Thakur,1,14,puneri-paltan,1
Deepak Niwas Hooda,1,12,puneri-paltan,1
Jasvir Singh,1,4,jaipur-pink-panthers,1
Kashiling Adake,1,11,dabang-delhi-kc,1
Surjeet Narwal,1,12,bengaluru-bulls,1
Rajesh Narwal,1,14,jaipur-pink-panthers,1
