player_name,season,matches_played,team,super-tackles
Sandeep Kumar Dhull,1,10,dabang-delhi-kc,6
C. Arun,1,11,jaipur-pink-panthers,5
Jasmer Singh Gulia,1,16,puneri-paltan,5
Manjeet Chhillar,1,15,puneri-paltan,5
Manoj Kumar,1,11,telugu-titans,4
Nilesh Shinde,1,16,bengal-warriors,4
Ravinder Pahal,1,11,dabang-delhi-kc,4
Meraj Sheykh,1,14,telugu-titans,3
Kuldeep Singh,1,10,jaipur-pink-panthers,3
Dharmaraj Cheralathan,1,14,telugu-titans,3
Rohit Rana,1,12,jaipur-pink-panthers,3
Rajesh Narwal,1,14,jaipur-pink-panthers,3
Rakesh Kumar,1,15,u-mumba,2
Jang Kun Lee,1,15,bengal-warriors,2
Sandeep Narwal,1,14,patna-pirates,2
Rahul Chaudhari,1,13,telugu-titans,2
Mohit Chhillar,1,13,u-mumba,2
Amit Om Prakash Rathi,1,8,bengaluru-bulls,2
Anil Shriram Nimbolkar,1,6,dabang-delhi-kc,2
D. Suresh Kumar,1,12,patna-pirates,2
Mahendra Ganesh Rajput,1,8,bengal-warriors,2
Pawan Kumar Sehrawat,1,13,bengaluru-bulls,2
Rahul Kumar,1,11,telugu-titans,2
Nitin Tomar,1,10,bengal-warriors,1
PO Surjeet Singh,1,12,puneri-paltan,1
Bajirao Hodage,1,16,bengal-warriors,1
Sachin Shingade,1,2,puneri-paltan,1
Deepak Kumar,1,3,bengal-warriors,1
Samarjeet Singh,1,5,jaipur-pink-panthers,1
Sunil,1,15,patna-pirates,1
Deepak Narwal,1,9,patna-pirates,1
Gnanasekaran M,1,8,dabang-delhi-kc,1
Somvir,1,14,bengaluru-bulls,1
Ravi Kumar,1,12,puneri-paltan,1
Hadi Oshtorak,1,10,patna-pirates,1
Umesh Mhatre,1,6,bengal-warriors,1
Gangadhari Mallesh,1,10,jaipur-pink-panthers,1
Jeeva Kumar,1,16,u-mumba,1
Rishank Devadiga,1,16,u-mumba,1
Shrikant Tewthia,1,13,bengaluru-bulls,1
Shyam Kumar Sah,1,7,bengal-warriors,1
Sukesh Hegde,1,13,telugu-titans,1
