player_name,season,matches_played,team,tackle-points
Sandeep Kumar Dhull,1,20,jaipur-pink-panthers,67
Vishal Bhardwaj,1,18,telugu-titans,61
Sumit,1,18,up-yoddha,61
Fazel Atrachali,1,19,u-mumba,60
Baldev Singh,1,20,bengal-warriors,59
Ravinder Pahal,1,20,dabang-delhi-kc,57
Rinku Narwal,1,20,bengal-warriors,53
Neeraj Kumar,1,19,patna-pirates,51
PO Surjeet Singh,1,19,puneri-paltan,51
Nitesh Kumar,1,18,up-yoddha,50
Jaideep,1,19,patna-pirates,48
Parvesh Bhainswal,1,20,gujarat-fortunegiants,48
Saurabh Nandal,1,18,bengaluru-bulls,47
Sunil,1,17,haryana-steelers,46
Mahender Singh,1,16,bengaluru-bulls,46
Sunil Kumar,1,18,gujarat-fortunegiants,46
Joginder Singh Narwal,1,20,dabang-delhi-kc,46
Surinder Singh,1,19,u-mumba,45
Amit Sheoran,1,19,bengaluru-bulls,43
Sandeep Narwal,1,19,u-mumba,42
Dharmaraj Cheralathan,1,17,haryana-steelers,41
Vishal,1,14,jaipur-pink-panthers,41
Ravi Kumar,1,17,haryana-steelers,40
Abozar Mohajermighani,1,18,telugu-titans,39
Vikas Kale,1,18,haryana-steelers,38
Manjeet Chhillar,1,15,tamil-thalaivas,37
Mohit Chhillar,1,18,tamil-thalaivas,37
Amit Hooda,1,14,jaipur-pink-panthers,36
Hadi Oshtorak,1,19,patna-pirates,35
Jadhav Balasaheb Shahaji,1,18,puneri-paltan,35
Ashu Singh,1,18,up-yoddha,32
Jeeva Kumar,1,19,bengal-warriors,32
Girish Maruti Ernak,1,15,puneri-paltan,31
Anil Kumar,1,16,dabang-delhi-kc,30
Ran Singh,1,19,tamil-thalaivas,30
Farhad Rahimi Milaghardan,1,18,telugu-titans,27
Manjeet,1,20,puneri-paltan,27
Monu,1,19,patna-pirates,25
Mohammad Esmaeil Nabibakhsh,1,20,bengal-warriors,25
Vishal Mane,1,20,dabang-delhi-kc,24
Amit,1,18,up-yoddha,23
More GB,1,17,gujarat-fortunegiants,21
C. Arun,1,18,telugu-titans,21
Pankaj,1,9,gujarat-fortunegiants,21
Amit Kumar,1,13,puneri-paltan,20
Harendra Kumar,1,17,u-mumba,19
Nitin Rawal,1,15,jaipur-pink-panthers,19
Shubham Shinde,1,13,puneri-paltan,17
Hadi Tajik,1,12,puneri-paltan,16
Vikas Jaglan,1,19,patna-pirates,16
Sumit Malik,1,14,gujarat-fortunegiants,15
Ruturaj Shivaji Koravi,1,15,gujarat-fortunegiants,15
Ajeet,1,14,tamil-thalaivas,14
Pawan Kumar Sehrawat,1,19,bengaluru-bulls,14
Sagar B Krishna,1,12,puneri-paltan,14
Santhapanaselvam,1,8,jaipur-pink-panthers,14
Sagar,1,11,tamil-thalaivas,13
Ankit,1,12,gujarat-fortunegiants,13
Pavan T. R.,1,15,jaipur-pink-panthers,12
Mohit Sehrawat,1,13,bengaluru-bulls,12
Deepak Niwas Hooda,1,20,jaipur-pink-panthers,12
Vijay,1,19,dabang-delhi-kc,11
M. Abishek,1,7,tamil-thalaivas,11
Amit Kumar,1,9,telugu-titans,10
Rakesh Gowda,1,9,telugu-titans,9
Rohit Gulia,1,20,gujarat-fortunegiants,9
Sunil Siddhgavali,1,14,jaipur-pink-panthers,9
Kuldeep Singh,1,9,haryana-steelers,8
Surender Gill,1,15,up-yoddha,8
Saeid Ghaffari,1,9,dabang-delhi-kc,8
Rahul Chaudhari,1,20,tamil-thalaivas,8
Shabeer Bappu,1,14,tamil-thalaivas,7
Vineet Sharma,1,11,tamil-thalaivas,7
Mohammad Esmaeil Maghsoudlou Mahalli,1,17,patna-pirates,7
Viraj Vishnu Landge,1,8,bengal-warriors,7
