player_name,season,matches_played,team,total-points
Pawan Kumar Sehrawat,1,24,bengaluru-bulls,282
Pardeep Narwal,1,21,patna-pirates,233
Siddharth Sirish Desai,1,21,u-mumba,221
Deepak Niwas Hooda,1,22,jaipur-pink-panthers,208
Maninder Singh,1,22,bengal-warriors,206
Ajay Thakur,1,22,tamil-thalaivas,204
Sachin Tanwar,1,23,gujarat-fortunegiants,204
Vikash Kandola,1,22,haryana-steelers,177
Naveen Kumar,1,22,dabang-delhi-kc,177
Rohit Kumar,1,24,bengaluru-bulls,171
Rahul Chaudhari,1,21,telugu-titans,166
Monu Goyat,1,20,haryana-steelers,164
Chandran Ranjit,1,24,dabang-delhi-kc,158
Prashanth Kumar Rai,1,21,up-yoddha,147
Shrikant Jadhav,1,25,up-yoddha,146
K. Prapanjan,1,22,gujarat-fortunegiants,123
Rohit Baliyan,1,19,u-mumba,108
Rishank Devadiga,1,23,up-yoddha,104
Nitin Tomar,1,11,puneri-paltan,102
Manjeet,1,22,patna-pirates,102
Naveen,1,21,haryana-steelers,102
Nitesh Kumar,1,25,up-yoddha,101
Meraj Sheykh,1,19,dabang-delhi-kc,97
More GB,1,22,puneri-paltan,91
Parvesh Bhainswal,1,25,gujarat-fortunegiants,86
Nilesh Salunke,1,19,telugu-titans,85
Kashiling Adake,1,20,bengaluru-bulls,84
Fazel Atrachali,1,23,u-mumba,83
Jang Kun Lee,1,18,bengal-warriors,82
Sunil Kumar,1,25,gujarat-fortunegiants,76
Ajinkya Ashok Pawar,1,17,jaipur-pink-panthers,75
Deepak Narwal,1,17,patna-pirates,74
Vijay,1,21,patna-pirates,73
Ran Singh,1,22,bengal-warriors,71
Sukesh Hegde,1,17,tamil-thalaivas,71
Sachin Kumar,1,25,up-yoddha,68
Sandeep Kumar Dhull,1,22,jaipur-pink-panthers,67
Manjeet Chhillar,1,19,tamil-thalaivas,67
Sandeep Narwal,1,18,puneri-paltan,66
Mahender Singh,1,24,bengaluru-bulls,63
Surender Singh,1,22,u-mumba,62
Rohit Gulia,1,19,gujarat-fortunegiants,61
Vishal Bhardwaj,1,17,telugu-titans,60
Ravinder Pahal,1,22,dabang-delhi-kc,59
Jaideep,1,22,patna-pirates,58
PO Surjeet Singh,1,23,bengal-warriors,57
Monu,1,14,puneri-paltan,57
Girish Maruti Ernak,1,20,puneri-paltan,57
Mohsen Maghsoudloujafari,1,19,telugu-titans,56
Abozar Mohajermighani,1,21,telugu-titans,56
Athul MS,1,19,tamil-thalaivas,56
Abhishek Singh,1,15,u-mumba,53
Vinod Kumar,1,17,u-mumba,51
Amit Hooda,1,18,tamil-thalaivas,51
Joginder Singh Narwal,1,22,dabang-delhi-kc,51
Anup Kumar,1,13,jaipur-pink-panthers,50
Darshan Kadian,1,14,u-mumba,50
Kuldeep Singh,1,22,haryana-steelers,49
Farhad Rahimi Milaghardan,1,22,telugu-titans,47
Ruturaj Shivaji Koravi,1,23,gujarat-fortunegiants,47
Mahesh Goud,1,10,bengal-warriors,46
Jasvir Singh,1,16,tamil-thalaivas,46
Pawan Kumar Kadian,1,13,dabang-delhi-kc,45
Ashish Kumar,1,24,bengaluru-bulls,45
Ravindra Ramesh Kumawat,1,12,bengal-warriors,42
Narender,1,25,up-yoddha,42
Akshay Jadhav,1,18,puneri-paltan,41
Selvamani K,1,15,jaipur-pink-panthers,41
Sunil,1,22,haryana-steelers,41
Ravi Kumar,1,22,puneri-paltan,40
Jeeva Kumar,1,19,up-yoddha,40
Dharmaraj Cheralathan,1,22,u-mumba,40
Vikas Kale,1,22,patna-pirates,39
Vishal Mane,1,22,dabang-delhi-kc,38
Rohit Rana,1,19,u-mumba,38
Sunil Siddhgavali,1,16,jaipur-pink-panthers,38
Amit Sheoran,1,15,bengaluru-bulls,38
Vikas Jaglan,1,14,patna-pirates,37
Deepak Kumar Dahiya,1,11,puneri-paltan,34
Ajay Kumar,1,13,gujarat-fortunegiants,33
Amit Kumar,1,17,jaipur-pink-panthers,33
Nitin Rawal,1,9,jaipur-pink-panthers,31
Dong Geon Lee,1,11,gujarat-fortunegiants,31
Mohit Chhillar,1,14,jaipur-pink-panthers,31
Mahendra Ganesh Rajput,1,13,gujarat-fortunegiants,30
Anil Kumar,1,18,telugu-titans,30
Baldev Singh,1,18,bengal-warriors,28
Sachin Vittala,1,22,gujarat-fortunegiants,28
Parveen,1,19,haryana-steelers,28
Sachin Shingade,1,19,haryana-steelers,25
Abolfazl Maghsodloumahali,1,10,u-mumba,25
Mayur Shivtarkar,1,18,haryana-steelers,23
Jawahar Dagar,1,15,patna-pirates,23
Azad Singh,1,9,up-yoddha,23
D. Pradap,1,13,tamil-thalaivas,22
Rinku Narwal,1,15,puneri-paltan,21
Amit Nagar,1,9,bengal-warriors,21
Harish Naik,1,7,bengaluru-bulls,21
Tushar Patil,1,9,patna-pirates,20
Rajesh Narwal,1,16,dabang-delhi-kc,20
Raju Lal Choudhary,1,16,bengaluru-bulls,20
Hadi Oshtorak,1,13,gujarat-fortunegiants,18
Sagar B Krishna,1,20,up-yoddha,18
Ponparthiban Subramanian,1,12,tamil-thalaivas,17
Sandeep,1,10,bengaluru-bulls,16
CPO Surjeet Singh,1,9,tamil-thalaivas,16
Young Chang Ko,1,13,jaipur-pink-panthers,15
Sumit Singh,1,8,bengaluru-bulls,15
Satpal,1,12,dabang-delhi-kc,15
Manish,1,17,patna-pirates,15
