Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,126,14,14,16,16,24,22,20,puneri-paltan
wins,49,2,2,8,7,16,8,6,puneri-paltan
draws,11,0,1,3,2,0,2,3,puneri-paltan
losses,66,12,11,5,7,8,12,11,puneri-paltan
Finishing Position,-,8,8,3,4,2,4,9,puneri-paltan
highest score,--47-vs---,--40-vs---,--37-vs---,--44-vs---,--41-vs---,--47-vs---,--45-vs---,--43-vs---,puneri-paltan
Biggest Winning Margin,---24-----43--vs---19----,---10-----40--vs---30----,---5-----33--vs---28----,---24-----43--vs---19----,---22-----41--vs---19----,---23-----38--vs---15----,---18-----27--vs---45----,---21-----20--vs---41----,puneri-paltan
Total Raids,5379,552,600,698,716,1042,940,831,puneri-paltan
Successful Raids,1687,204,170,203,230,304,286,290,puneri-paltan
unsuccessful raid,1248,148,151,133,151,223,228,214,puneri-paltan
empty raids,2444,200,279,362,335,515,426,327,puneri-paltan
success raid %,39%,49%,37%,36%,40%,36%,37%,43%,puneri-paltan
no. of super raids,63,11,8,9,10,12,7,6,puneri-paltan
raid touch points,1678,207,186,215,246,321,235,268,puneri-paltan
raid bonus points,438,62,37,36,44,58,111,90,puneri-paltan
Total Raid Points,2116,269,223,251,290,379,346,358,puneri-paltan
Total Tackles,2989,368,307,371,345,547,502,549,puneri-paltan
successful tackles,1159,93,104,174,140,252,189,207,puneri-paltan
unsuccesful tackles,1830,275,203,197,205,295,313,342,puneri-paltan
successful tackle %,43%,29%,37%,50%,42%,50%,44%,42%,puneri-paltan
no. of super tackles,125,14,11,13,7,21,34,25,puneri-paltan
all outs inflicted,134,12,12,25,21,32,14,18,puneri-paltan
total all out points,268,24,24,50,42,64,28,36,puneri-paltan
total defence points,1276,107,114,187,146,271,219,232,puneri-paltan
