Stat_desc,Overall,Season5,Season6,Season7,Team
Matches Played,64,22,22,20,tamil-thalaivas
wins,14,6,5,3,tamil-thalaivas
draws,9,2,4,3,tamil-thalaivas
losses,41,14,13,14,tamil-thalaivas
Finishing Position,-,6,6,12,tamil-thalaivas
highest score,--46-vs---,--40-vs---,--46-vs---,--39-vs---,tamil-thalaivas
Biggest Winning Margin,---22-----24--vs---46----,---5-----24--vs---29----,---22-----24--vs---46----,---13-----26--vs---39----,tamil-thalaivas
Total Raids,2781,1022,925,834,tamil-thalaivas
Successful Raids,970,351,344,834,tamil-thalaivas
unsuccessful raid,649,207,344,220,tamil-thalaivas
empty raids,1162,464,359,339,tamil-thalaivas
success raid %,42%,40%,45%,41%,tamil-thalaivas
no. of super raids,16,5,7,4,tamil-thalaivas
raid touch points,888,309,314,265,tamil-thalaivas
raid bonus points,285,101,105,79,tamil-thalaivas
Total Raid Points,1173,410,419,344,tamil-thalaivas
Total Tackles,1471,517,498,456,tamil-thalaivas
successful tackles,518,184,174,160,tamil-thalaivas
unsuccesful tackles,953,333,324,296,tamil-thalaivas
successful tackle %,38%,39%,38%,38%,tamil-thalaivas
no. of super tackles,45,17,15,13,tamil-thalaivas
all outs inflicted,53,19,20,14,tamil-thalaivas
total all out points,106,38,40,28,tamil-thalaivas
total defence points,561,201,189,171,tamil-thalaivas
