Season,Matches Played,wins,draws,losses,Finishing Position,highest score,Biggest Winning Margin,Total Raids,Successful Raids,unsuccessful raid,empty raids,success raid %,no. of super raids,raid touch points,raid bonus points,Total Raid Points,Total Tackles,successful tackles,unsuccesful tackles,successful tackle %,no. of super tackles,all outs inflicted,total all out points,total defence points,team_name
0,126,78,7,41,0,53,27,5312,1803,1148,2361,43,62,1769,498,2267,2892,1216,1676,46,104,171,342,1317,U Mumba
1,16,9,3,4,2,45,16,624,270,134,220,56,12,262,85,347,409,145,264,38,12,21,42,157,U Mumba
2,16,14,0,2,1,39,17,697,187,154,356,34,7,206,31,237,364,180,184,54,16,20,40,196,U Mumba
3,16,13,0,3,1,41,21,685,206,139,340,37,7,211,42,253,329,163,166,51,6,27,54,169,U Mumba
4,14,7,1,6,4,38,8,594,188,131,275,38,4,164,63,227,293,110,183,41,11,15,30,121,U Mumba
5,22,10,0,12,4,51,14,963,322,219,422,44,10,298,121,419,539,176,363,37,26,21,42,202,U Mumba
6,23,15,2,6,2,53,27,978,372,196,410,47,15,372,87,459,558,274,284,52,15,41,82,289,U Mumba
7,19,10,1,8,4,47,26,771,258,175,338,42,7,256,69,325,400,168,232,46,18,26,52,183,U Mumba
0,122,50,15,57,0,60,36,5240,1843,1132,2265,44,62,1799,487,2286,2807,1067,1740,42,115,142,284,1176,Telugu Titans
1,14,6,3,5,5,60,36,569,272,116,181,59,8,291,45,336,333,96,237,31,8,25,50,104,Telugu Titans
2,16,9,3,4,2,54,22,707,265,143,299,49,16,297,47,344,399,158,241,43,16,26,52,172,Telugu Titans
3,14,7,0,7,5,45,18,609,206,133,270,42,3,201,53,254,304,101,203,38,15,13,26,116,Telugu Titans
4,16,8,2,6,2,46,21,687,206,133,348,39,7,225,42,267,364,157,207,44,5,22,44,162,Telugu Titans
5,22,7,3,12,5,58,22,971,332,197,442,41,10,301,99,400,508,191,317,41,17,25,50,207,Telugu Titans
6,22,8,1,13,5,53,21,953,289,229,435,37,9,246,107,353,486,202,284,48,33,18,36,233,Telugu Titans
7,18,5,3,10,10,51,20,744,273,181,290,45,9,238,94,332,413,162,251,44,21,13,26,182,Telugu Titans
0,126,49,11,66,0,47,24,5379,1687,1248,2444,39,63,1678,438,2116,2989,1159,1830,43,125,134,268,1276,Puneri Paltan
1,14,2,0,12,8,40,10,552,204,148,200,49,11,207,62,269,368,93,275,29,14,12,24,107,Puneri Paltan
2,14,2,1,11,8,37,5,600,170,151,279,37,8,186,37,223,307,104,203,37,11,12,24,114,Puneri Paltan
3,16,8,3,5,3,44,24,698,203,133,362,36,9,215,36,251,371,174,197,50,13,25,50,187,Puneri Paltan
4,16,7,2,7,4,41,22,716,230,151,335,40,10,246,44,290,345,140,205,42,7,21,42,146,Puneri Paltan
