Stat_desc,Overall,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,126,16,16,16,14,22,23,19,u-mumba
wins,78,9,14,13,7,10,15,10,u-mumba
draws,7,3,0,0,1,0,2,1,u-mumba
losses,41,4,2,3,6,12,6,8,u-mumba
Finishing Position,-,2,1,1,4,4,2,4,u-mumba
highest score,--53-vs---,--45-vs---,--39-vs---,--41-vs---,--38-vs---,--51-vs---,--53-vs---,--47-vs---,u-mumba
Biggest Winning Margin,---27-----26--vs---53----,---16-----44--vs---28----,---17-----35--vs---18----,---21-----18--vs---39----,---8-----18--vs---26----,---14-----36--vs---22----,---27-----26--vs---53----,---26-----47--vs---21----,u-mumba
Total Raids,5312,624,697,685,594,963,978,771,u-mumba
Successful Raids,1803,270,187,206,188,322,372,258,u-mumba
unsuccessful raid,1148,134,154,139,131,219,196,175,u-mumba
empty raids,2361,220,356,340,275,422,410,338,u-mumba
success raid %,43%,56%,34%,37%,38%,44%,47%,42%,u-mumba
no. of super raids,62,12,7,7,4,10,15,7,u-mumba
raid touch points,1769,262,206,211,164,298,372,256,u-mumba
raid bonus points,498,85,31,42,63,121,87,69,u-mumba
Total Raid Points,2267,347,237,253,227,419,459,325,u-mumba
Total Tackles,2892,409,364,329,293,539,558,400,u-mumba
successful tackles,1216,145,180,163,110,176,274,168,u-mumba
unsuccesful tackles,1676,264,184,166,183,363,284,232,u-mumba
successful tackle %,46%,38%,54%,51%,41%,37%,52%,46%,u-mumba
no. of super tackles,104,12,16,6,11,26,15,18,u-mumba
all outs inflicted,171,21,20,27,15,21,41,26,u-mumba
total all out points,342,42,40,54,30,42,82,52,u-mumba
total defence points,1317,157,196,169,121,202,289,183,u-mumba
